Model,Dataset,Accuracy,Precision,Recall,F1 Score,ROC-AUC,False Positive Rate,False Negative Rate,TP,TN,FP,FN,Specificity,Balanced Accuracy
AdaBoost,balanced,0.981697,0.978046,0.981638,0.979838,0.997855,0.018253,0.018362,4544,5486,102,85,0.981747,0.981692
Decision Tree,balanced,0.990212,0.989622,0.988766,0.989194,0.997768,0.00859,0.011234,4577,5540,48,52,0.99141,0.990088
Gradient Boosting,balanced,0.987668,0.983258,0.989631,0.986434,0.999221,0.013958,0.010369,4581,5510,78,48,0.986042,0.987836
KNN,balanced,0.987276,0.98512,0.986822,0.98597,0.995044,0.012348,0.013178,4568,5519,69,61,0.987652,0.987237
Logistic Regression,balanced,0.947147,0.951624,0.930655,0.941022,0.98366,0.039191,0.069345,4308,5369,219,321,0.960809,0.945732
MLP,balanced,0.98434,0.979815,0.985742,0.98277,0.998371,0.016822,0.014258,4563,5494,94,66,0.983178,0.98446
Naive Bayes,balanced,0.560928,0.928144,0.033485,0.064637,0.869368,0.002147,0.966515,155,5576,12,4474,0.997853,0.515669
Random Forest,balanced,0.990604,0.988154,0.991143,0.989646,0.999374,0.009843,0.008857,4588,5533,55,41,0.990157,0.99065
SVM,balanced,0.974748,0.978542,0.965435,0.971944,0.995012,0.017538,0.034565,4469,5490,98,160,0.982462,0.973949
XGBoost,balanced,0.991387,0.989016,0.992007,0.990509,0.999562,0.009127,0.007993,4592,5537,51,37,0.990873,0.99144
