Model,Dataset,Accuracy,Precision,Recall,F1 Score,ROC-AUC,False Positive Rate,False Negative Rate,TP,TN,FP,FN,Specificity,Balanced Accuracy
AdaBoost,real_world,0.986358,0.988665,0.991902,0.990281,0.998581,0.026619,0.008098,28783,12067,330,235,0.973381,0.982641
Decision Tree,real_world,0.992008,0.99445,0.994142,0.994296,0.990594,0.012987,0.005858,28848,12236,161,170,0.987013,0.990577
Gradient Boosting,real_world,0.991163,0.99315,0.994245,0.993697,0.999223,0.016052,0.005755,28851,12198,199,167,0.983948,0.989096
KNN,real_world,0.990245,0.994265,0.991798,0.99303,0.996705,0.01339,0.008202,28780,12231,166,238,0.98661,0.989204
Logistic Regression,real_world,0.979573,0.982761,0.98818,0.985463,0.996034,0.040574,0.01182,28675,11894,503,343,0.959426,0.973803
MLP,real_world,0.99109,0.994272,0.993004,0.993638,0.998742,0.01339,0.006996,28815,12231,166,203,0.98661,0.989807
Naive Bayes,real_world,0.700664,0.700664,1.0,0.823989,0.83464,1.0,0.0,29018,0,12397,0,0.0,0.5
Random Forest,real_world,0.994833,0.996381,0.996244,0.996312,0.999643,0.00847,0.003756,28909,12292,105,109,0.99153,0.993887
SVM,real_world,0.988555,0.991189,0.992487,0.991838,0.99813,0.02065,0.007513,28800,12141,256,218,0.97935,0.985919
XGBoost,real_world,0.995388,0.996966,0.99645,0.996708,0.999792,0.007098,0.00355,28915,12309,88,103,0.992902,0.994676
